C,method,conv_ms
1,naive,0.0033
1,tiled,0.0035
1,im2col,0.0128
1,cuDNN,0.0257
1,cuDNN16,0.0351
8,naive,0.0567
8,tiled,0.0767
8,coarse,0.0571
8,im2col,0.0867
8,cuDNN,0.0391
8,cuDNN16,0.0442
16,naive,0.2147
16,tiled,0.2953
16,coarse,0.211
16,im2col,0.1892
16,cuDNN,0.0592
16,cuDNN16,0.0711
32,naive,0.8976
32,tiled,1.4689
32,coarse,0.8834
32,im2col,0.6371
32,cuDNN,0.0745
32,cuDNN16,0.1072
64,naive,4.1103
64,tiled,5.59
64,coarse,3.9083
64,im2col,1.4467
64,cuDNN,0.2418
64,cuDNN16,0.1129
128,naive,17.1576
128,tiled,22.5771
128,coarse,16.268
128,im2col,3.4118
128,cuDNN,0.7472
128,cuDNN16,0.4751
