ksize,mode,conv_ms
3,custom,0.00925
5,custom,0.01452
7,custom,0.02128
9,custom,0.03102
11,custom,0.04528
15,custom,0.07494
19,custom,0.10942
23,custom,0.15505
27,custom,0.21064
31,custom,0.27338
3,tiled,0.00924
5,tiled,0.01253
7,tiled,0.0157
9,tiled,0.01982
11,tiled,0.0256
15,tiled,0.0426
19,tiled,0.06073
23,tiled,0.08351
27,tiled,0.11055
31,tiled,0.14285
3,cudnn,0.0327
5,cudnn,0.0418
7,cudnn,0.05103
9,cudnn,0.0632
11,cudnn,0.07732
15,cudnn,0.11229
19,cudnn,0.1598
23,cudnn,0.21662
27,cudnn,0.24125
31,cudnn,0.30488
