impl,ksize,Convolution,BatchNorm,ReLU,Pooling
custom,3,0.019551,0.007839,0.00728,0.00759
custom,5,0.028549,0.007594,0.006709,0.007667
custom,7,0.04841,0.008438,0.007844,0.008723
custom,9,0.073366,0.008114,0.007183,0.008058
custom,11,0.106503,0.007766,0.006913,0.007629
tiled,3,0.019803,0.007313,0.006862,0.007665
tiled,5,0.02728,0.007354,0.006972,0.007522
tiled,7,0.036433,0.007374,0.00678,0.007636
tiled,9,0.053111,0.008121,0.00727,0.00815
tiled,11,0.075353,0.007659,0.006967,0.007772
cudnn,3,0.038292,0.007862,0.007206,0.007788
cudnn,5,0.051628,0.00761,0.006973,0.007654
cudnn,7,0.069229,0.007629,0.006888,0.007698
cudnn,9,0.10548,0.008874,0.007916,0.009009
cudnn,11,0.142642,0.008945,0.008049,0.009189
